,flight_id,people_onboard,passengers_onboard,crew_onboard,people_dead,passenger_dead,crew_dead,ground,total_fatalities
3435,3435,16.0,13.0,3.0,14.0,11.0,3.0,0.0,14.0
3436,3436,8.0,6.0,2.0,8.0,6.0,2.0,0.0,8.0
3437,3437,30.0,29.0,1.0,7.0,6.0,1.0,0.0,7.0
3438,3438,53.0,48.0,5.0,53.0,48.0,5.0,0.0,53.0
3439,3439,46.0,40.0,6.0,46.0,40.0,6.0,0.0,46.0
3440,3440,29.0,24.0,5.0,8.0,6.0,2.0,0.0,8.0
3441,3441,45.0,41.0,4.0,45.0,41.0,4.0,0.0,45.0
3442,3442,50.0,46.0,4.0,50.0,46.0,4.0,0.0,50.0
3443,3443,6.0,0.0,6.0,4.0,0.0,4.0,1.0,5.0
3444,3444,163.0,,,1.0,,,0.0,1.0
3445,3445,12.0,10.0,2.0,5.0,4.0,1.0,44.0,49.0
3446,3446,33.0,30.0,3.0,2.0,2.0,0.0,0.0,2.0
