,flight_id,causes,date,route_simple
418,418,Sin datos,1936-04-21,France
419,419,Sin datos,1936-04-30,Switzerland
420,420,Sin datos,1936-05-16,Australia
421,421,Sin datos,1936-06-09,Sweden
422,422,Sin datos,1936-06-13,Germany
423,423,Sin datos,1936-06-16,Norway
424,424,Sin datos,1936-07-15,Croatia
425,425,Sin datos,1936-07-28,Tajikistan
426,426,Sin datos,1936-07-31,Jersey
427,427,Sin datos,1936-08-02,France
428,428,Sin datos,1936-08-03,Mexico
429,429,Sin datos,1936-08-05,Missouri
430,430,Sin datos,1936-08-06,Colombia
431,431,Sin datos,1936-08-12,Germany
432,432,Sin datos,1936-08-22,Greece
433,433,Sin datos,1936-09-05,Pennsylvania
434,434,Sin datos,1936-09-24,Libya
435,435,Sin datos,1936-09-25,English Channel
436,436,Sin datos,1936-09-28,Colorado
437,437,Sin datos,1936-09-29,Illinois
438,438,Sin datos,1936-10-06,Mexico
439,439,Sin datos,1936-10-09,United Kingdom
440,440,Sin datos,1936-11-01,Germany
441,441,Sin datos,1936-11-17,Germany
442,442,Sin datos,1936-11-19,England
443,443,Sin datos,1936-12-04,France
444,444,Sin datos,1936-12-06,Russia
445,445,Sin datos,1936-12-07,French West Africa
446,446,Sin datos,1936-12-09,England
447,447,Sin datos,1936-12-15,Utah
448,448,Sin datos,1936-12-18,Idaho
449,449,Sin datos,1936-12-19,Pennsylvania
450,450,Sin datos,1936-12-23,Texas
451,451,Sin datos,1936-12-26,China
452,452,Sin datos,1936-12-27,California
453,453,Sin datos,1937-01-11,Mexico
454,454,Sin datos,1937-01-12,California
455,455,Sin datos,1937-01-26,Algeria
456,456,Sin datos,1937-02-09,California
457,457,Sin datos,1937-02-19,Australia
458,458,Sin datos,1937-03-12,Gambia
459,459,Sin datos,1937-03-24,France
460,460,Sin datos,1937-03-25,Pennsylvania
461,461,Sin datos,1937-03-26,Germany
462,462,Sin datos,1937-05-06,New Jersey
463,463,Sin datos,1937-05-20,Germany
464,464,Sin datos,1937-06-02,Desertores Island Región de Los Lagos
