,flight_id,aircraft_type,helicopter,manufacter
4354,4354,MD-87 / Cessna 525A Citation II,False,MD-87
4355,4355,Swearingen SA-226AT Merlin IV,False,Swearingen
4356,4356,Cessna 208 Caravan,False,Cessna
4357,4357,Swearingen SA.226TC Metro I,False,Swearingen
4358,4358,Bell 206L,False,Bell
4359,4359,Airbus A-300-605R,False,Airbus
4360,4360,Ilyushin 18V,False,Ilyushin
4361,4361,Learjet 25B,False,Learjet
4362,4362,Antonov AN-28,False,Antonov
4363,4363,BAE Avro RJ100,False,BAE
4364,4364,Boeing 747-246F,False,Boeing
4365,4365,Ilyushin IL- 76TD,False,Ilyushin
4366,4366,Let 410A,False,Let
4367,4367,Let 410UVP-E,False,Let
4368,4368,Britten Norman BN-2B Trislander,False,Britten
4369,4369,Canadair CL-604,False,Canadair
4370,4370,Lockheed Hercules KC-130R,False,Lockheed
4371,4371,Embraer EMB-120 Brasilia,False,Embraer
4372,4372,de Havilland DHC-6 Twin Otter 300,False,de
4373,4373,Boeing B-737-3Q8,False,Boeing
4374,4374,Fairchild FH-227E,False,Fairchild
4375,4375,Antonov AN-12,False,Antonov
4376,4376,Boeing B-727-134,False,Boeing
4377,4377,Tupolev TU-154,False,Tupolev
4378,4378,Antonov 12BP,False,Antonov
4379,4379,Antonov AN-26,False,Antonov
4380,4380,MH-47 Chinook helicopter,True,MH-47
4381,4381,Antonov 2TP,False,Antonov
4382,4382,Antonov AN-2,False,Antonov
4383,4383,Let 410UVP-E,False,Let
4384,4384,Swearingen SA.227AC Metro III,False,Swearingen
4385,4385,Boeing B-767-200ER,False,Boeing
4386,4386,Antonov AN-32A,False,Antonov
4387,4387,Mi-8 helicopter,True,Mi-8
4388,4388,BAC One-Eleven 525FT,False,BAC
4389,4389,Boeing B-737-566,False,Boeing
4390,4390,McDonnell Douglas MD-82,False,McDonnell
4391,4391,LET 410UVP,False,LET
4392,4392,Boeing B-747-209B,False,Boeing
4393,4393,de Havilland Canada DHC-6 Twin Otter 300,False,de
4394,4394,Hawker Siddeley HS-748-372,False,Hawker
4395,4395,Mi-17,False,Mi-17
4396,4396,Lockheed MC-130H Hercules,False,Lockheed
4397,4397,Tupolev TU-154M / Boeing B-757-23APF,False,Tupolev
4398,4398,Boeing B-707-123B,False,Boeing
