Date,Open,High,Low,Close,Adj Close,Volume
2020-11-09,7.750000,8.500000,7.750000,8.250000,8.250000,2812
2020-11-10,8.250000,8.500000,8.000000,8.250000,8.250000,1044
2020-11-11,8.500000,8.500000,8.250000,8.500000,8.500000,120
2020-11-12,8.750000,8.750000,8.000000,8.500000,8.500000,128
2020-11-13,8.500000,8.500000,7.750000,8.250000,8.250000,344
2020-11-16,8.500000,8.500000,8.000000,8.000000,8.000000,876
2020-11-17,8.250000,8.250000,7.750000,8.250000,8.250000,60
2020-11-18,8.500000,8.500000,8.000000,8.250000,8.250000,544
2020-11-19,8.250000,8.500000,8.250000,8.500000,8.500000,1408
2020-11-20,8.750000,9.500000,8.750000,9.000000,9.000000,3144
2020-11-23,8.750000,10.500000,8.750000,10.250000,10.250000,7736
2020-11-24,11.250000,15.250000,11.000000,14.250000,14.250000,12328
2020-11-25,15.500000,17.750000,15.000000,17.500000,17.500000,18400
2020-11-27,19.000000,23.000000,19.000000,22.000000,22.000000,8472
2020-11-30,22.000000,22.000000,14.750000,14.750000,14.750000,11692
2020-12-01,17.000000,17.500000,16.750000,16.750000,16.750000,1292
2020-12-02,17.000000,17.250000,16.000000,17.000000,17.000000,1804
2020-12-03,17.000000,17.500000,16.750000,16.750000,16.750000,1224
2020-12-04,17.000000,17.000000,15.750000,16.000000,16.000000,5232
2020-12-07,15.750000,15.750000,15.250000,15.500000,15.500000,2492
2020-12-08,15.250000,15.500000,15.250000,15.500000,15.500000,3464
2020-12-09,15.250000,15.500000,14.750000,14.750000,14.750000,1648
2020-12-10,15.250000,15.250000,14.750000,14.750000,14.750000,1700
2020-12-11,14.750000,15.000000,14.000000,14.500000,14.500000,1672
2020-12-14,15.000000,15.000000,14.750000,15.000000,15.000000,1236
2020-12-15,15.000000,15.000000,14.500000,14.750000,14.750000,992
2020-12-16,14.750000,15.000000,14.750000,14.750000,14.750000,636
2020-12-17,14.750000,15.000000,14.750000,15.000000,15.000000,1460
2020-12-18,14.750000,16.750000,14.750000,16.750000,16.750000,6864
2020-12-21,15.500000,15.750000,14.750000,15.500000,15.500000,712
2020-12-22,16.250000,16.250000,15.250000,15.500000,15.500000,1672
2020-12-23,15.500000,15.750000,15.250000,15.500000,15.500000,4704
2020-12-24,15.500000,16.000000,15.500000,16.000000,16.000000,2768
2020-12-28,16.000000,16.000000,12.750000,15.250000,15.250000,816
2020-12-29,15.750000,15.750000,15.000000,15.500000,15.500000,3012
2020-12-30,15.750000,16.000000,15.000000,16.000000,16.000000,2964
2020-12-31,15.750000,16.000000,15.750000,15.750000,15.750000,1404
2021-01-04,15.750000,16.250000,15.500000,15.750000,15.750000,680
2021-01-05,16.000000,16.250000,16.000000,16.000000,16.000000,436
2021-01-06,16.000000,16.250000,16.000000,16.000000,16.000000,884
2021-01-07,15.750000,16.000000,15.750000,15.750000,15.750000,160
2021-01-08,16.250000,16.250000,15.750000,15.750000,15.750000,448
2021-01-11,15.750000,15.750000,15.500000,15.750000,15.750000,1388
2021-01-12,15.750000,15.750000,15.750000,15.750000,15.750000,244
2021-01-13,15.750000,16.000000,15.750000,16.000000,16.000000,836
2021-01-14,16.500000,16.750000,16.500000,16.750000,16.750000,6956
2021-01-15,16.750000,17.500000,16.750000,17.250000,17.250000,1600
2021-01-19,17.500000,17.500000,16.250000,16.250000,16.250000,2308
2021-01-20,16.750000,17.500000,16.250000,17.250000,17.250000,1528
2021-01-21,17.500000,19.500000,17.500000,19.500000,19.500000,2564
2021-01-22,19.500000,20.500000,18.750000,19.500000,19.500000,4852
2021-01-25,20.500000,20.500000,18.250000,18.250000,18.250000,1360
2021-01-26,19.000000,19.500000,18.000000,18.000000,18.000000,1024
2021-01-27,17.500000,17.500000,16.750000,17.250000,17.250000,740
2021-01-28,17.750000,17.750000,17.000000,17.000000,17.000000,924
2021-01-29,17.000000,17.500000,16.750000,17.000000,17.000000,1040
2021-02-01,17.500000,17.500000,16.750000,16.750000,16.750000,1884
2021-02-02,17.000000,18.000000,17.000000,17.750000,17.750000,1660
2021-02-03,17.500000,17.500000,17.000000,17.250000,17.250000,1908
2021-02-04,17.250000,17.250000,17.000000,17.000000,17.000000,2116
2021-02-05,17.500000,17.500000,17.000000,17.500000,17.500000,968
2021-02-08,17.500000,17.500000,17.000000,17.500000,17.500000,2268
2021-02-09,17.500000,17.500000,17.250000,17.250000,17.250000,640
2021-02-10,16.500000,18.250000,16.500000,18.250000,18.250000,328
2021-02-11,16.750000,17.750000,16.750000,17.250000,17.250000,1448
2021-02-12,16.500000,18.500000,16.500000,17.750000,17.750000,5808
2021-02-16,18.250000,18.250000,17.500000,17.500000,17.500000,1012
2021-02-17,17.250000,17.750000,17.250000,17.500000,17.500000,1432
2021-02-18,17.750000,17.750000,16.250000,16.250000,16.250000,1556
2021-02-19,15.750000,17.000000,15.750000,17.000000,17.000000,124
2021-02-22,17.500000,17.500000,15.250000,15.750000,15.750000,5888
2021-02-23,16.500000,16.500000,15.750000,16.000000,16.000000,1404
2021-02-24,16.250000,17.000000,16.250000,17.000000,17.000000,628
2021-02-25,17.250000,17.250000,16.250000,16.250000,16.250000,652
2021-02-26,16.500000,16.500000,15.750000,16.000000,16.000000,992
2021-03-01,17.000000,17.000000,16.250000,16.750000,16.750000,1220
2021-03-02,16.500000,17.250000,16.500000,16.500000,16.500000,356
2021-03-03,17.000000,17.000000,16.500000,16.750000,16.750000,608
2021-03-04,16.750000,17.500000,16.750000,17.000000,17.000000,1584
2021-03-05,17.500000,18.000000,17.000000,17.750000,17.750000,2676
2021-03-08,19.000000,19.250000,18.500000,18.750000,18.750000,4320
2021-03-09,19.000000,19.000000,18.750000,18.750000,18.750000,88
2021-03-10,19.500000,19.500000,17.750000,18.000000,18.000000,2472
2021-03-11,17.500000,18.250000,17.500000,18.000000,18.000000,1240
2021-03-12,19.750000,19.750000,17.750000,18.250000,18.250000,292
2021-03-15,18.250000,18.750000,18.250000,18.750000,18.750000,672
2021-03-16,18.750000,19.000000,18.750000,18.750000,18.750000,508
2021-03-17,19.000000,19.000000,18.750000,19.000000,19.000000,136
2021-03-18,19.000000,19.250000,18.750000,19.000000,19.000000,360
2021-03-19,18.750000,19.000000,18.750000,19.000000,19.000000,148
2021-03-22,20.000000,20.000000,18.750000,19.750000,19.750000,924
2021-03-23,19.750000,21.250000,19.750000,20.000000,20.000000,2932
2021-03-24,20.500000,21.000000,19.750000,19.750000,19.750000,1964
2021-03-25,19.500000,19.500000,19.500000,19.500000,19.500000,32
2021-03-26,19.750000,20.250000,19.750000,20.250000,20.250000,1136
2021-03-29,20.250000,21.000000,18.750000,20.250000,20.250000,836
2021-03-30,20.250000,21.000000,20.250000,20.750000,20.750000,892
2021-03-31,22.000000,22.750000,21.750000,22.750000,22.750000,3552
2021-04-01,23.750000,24.500000,23.750000,24.250000,24.250000,2496
2021-04-05,24.500000,25.750000,24.000000,25.500000,25.500000,3212
2021-04-06,27.000000,27.000000,25.250000,25.500000,25.500000,3860
2021-04-07,26.250000,26.250000,24.250000,24.250000,24.250000,2480
2021-04-08,24.750000,24.750000,21.750000,23.250000,23.250000,3456
2021-04-09,23.750000,24.500000,23.250000,24.500000,24.500000,5296
2021-04-12,25.000000,25.000000,23.000000,23.500000,23.500000,2604
2021-04-13,24.750000,24.750000,23.250000,23.250000,23.250000,1716
2021-04-14,24.000000,24.000000,23.250000,23.500000,23.500000,684
2021-04-15,23.500000,23.500000,23.000000,23.250000,23.250000,672
2021-04-16,24.500000,24.500000,22.250000,22.750000,22.750000,2592
2021-04-19,22.750000,24.000000,21.500000,22.750000,22.750000,1204
2021-04-20,22.750000,23.000000,21.750000,21.750000,21.750000,848
2021-04-21,21.500000,22.750000,21.500000,22.250000,22.250000,1172
2021-04-22,22.500000,22.500000,22.250000,22.250000,22.250000,2448
2021-04-23,22.250000,22.750000,22.250000,22.500000,22.500000,584
2021-04-26,21.000000,22.750000,21.000000,22.750000,22.750000,964
2021-04-27,22.750000,23.000000,22.500000,22.500000,22.500000,1208
2021-04-28,22.500000,22.500000,22.500000,22.500000,22.500000,696
2021-04-29,23.000000,23.000000,22.500000,22.500000,22.500000,712
2021-04-30,22.500000,22.750000,22.500000,22.750000,22.750000,692
2021-05-03,23.500000,24.000000,23.500000,23.500000,23.500000,1220
2021-05-04,23.500000,23.500000,23.000000,23.250000,23.250000,1196
2021-05-05,23.750000,23.750000,23.500000,23.500000,23.500000,236
2021-05-06,24.000000,24.000000,23.000000,23.000000,23.000000,1344
2021-05-07,23.500000,24.000000,23.500000,23.500000,23.500000,732
2021-05-10,23.750000,24.000000,23.500000,23.500000,23.500000,660
2021-05-11,23.500000,23.500000,23.250000,23.250000,23.250000,96
2021-05-12,23.000000,23.250000,22.250000,22.500000,22.500000,1224
2021-05-13,22.250000,22.250000,22.250000,22.250000,22.250000,32
2021-05-14,22.500000,22.750000,22.500000,22.750000,22.750000,68
2021-05-17,23.250000,23.500000,23.000000,23.500000,23.500000,564
2021-05-18,23.750000,23.750000,23.250000,23.250000,23.250000,140
2021-05-19,23.000000,23.250000,22.750000,23.250000,23.250000,364
2021-05-20,23.000000,23.000000,23.000000,23.000000,23.000000,96
2021-05-21,23.250000,23.250000,23.000000,23.000000,23.000000,92
2021-05-24,25.750000,25.750000,21.250000,24.750000,24.750000,2664
2021-05-25,23.250000,23.500000,22.750000,22.750000,22.750000,252
2021-05-26,22.000000,23.000000,22.000000,22.750000,22.750000,1408
2021-05-27,23.000000,24.000000,23.000000,23.500000,23.500000,528
2021-05-28,23.500000,23.750000,23.250000,23.500000,23.500000,1180
2021-06-01,24.250000,24.750000,24.250000,24.250000,24.250000,3132
2021-06-02,24.000000,24.250000,23.750000,24.250000,24.250000,2680
2021-06-03,24.250000,25.250000,24.250000,24.750000,24.750000,3456
2021-06-04,25.000000,26.250000,25.000000,25.500000,25.500000,3528
2021-06-07,26.250000,26.250000,25.750000,26.000000,26.000000,2352
2021-06-08,24.750000,26.250000,24.750000,26.250000,26.250000,1492
2021-06-09,26.750000,26.750000,26.250000,26.500000,26.500000,788
2021-06-10,26.500000,27.250000,26.250000,26.500000,26.500000,616
2021-06-11,26.250000,26.500000,26.000000,26.250000,26.250000,204
2021-06-14,27.500000,27.500000,25.750000,26.500000,26.500000,1160
2021-06-15,26.750000,26.750000,26.000000,26.500000,26.500000,1116
2021-06-16,26.500000,26.500000,26.000000,26.000000,26.000000,292
